ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref1	"Book:edited collection"	"H. H. Henson, ed. "  "Church problems "  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref2	"Book:sermons"	"H. H. Henson"  "Light and leaven"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref4	"Book:monograph"	"H. H. Henson and Samuel Smith"  "The real aspect of disestablishment. An open letter to Samuel Smith, Esq., M.P., in reply to an address delivered Dec., 1894, entitled 'The Religious Aspect of Disestablishment', etc."  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref3	"Book:monograph"	"James Boswell"  "The life of Samuel Johnson, LL.D."  ""  "2 vols"  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref5	"Book:monograph"	"H. H. Henson"  "Apostolic christianity"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref6	"Book:monograph"	"H. H. Henson"  "Ad rem"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref7	"Book:sermons"	"H. H. Henson"  "Discipline and law"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref9	"Periodical:journal:article"	"H. H. Henson"  "Our unhappy divisions"  "Our unhappy divisions: a plea for the recognition of non-episcopal churches', was republished in <i>Cross-bench views of current church questions</i> (London, 1902), 341-355"  ""  ""  "Contemporary Review"  "80"  ""  ""  ""  ""  ""  ""  "794-805"  "ref.206"  
ref8	"Book:sermons"	"H. H. Henson"  "Godly union and concord"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref10	"Book:sermons"	"H. H. Henson"  "National education"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref11	"Book:monograph"	"H. H. Henson"  "Cui bono? "  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref12	"Book:monograph"	"H. H. Henson"  "Cross-bench views of current church questions"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref13	"Book:sermons"	"H. H. Henson"  "Preaching to the times"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref15	"Periodical:journal:article"	"H. H. Henson, ed. "  "The resurrection of Jesus Christ "  ""  ""  ""  "The Hibbert Journal: A Quarterly Review of Religion, Theology, and Philosophy"  "2"  ""  ""  ""  ""  ""  ""  "476-93"  ""  
ref16	"Other:Letter:letter"	"H. H. Henson"  "Toleration Or treason?"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "2"  ""  
ref17	"Periodical:journal:article"	"H. H. Henson"  "The judgement of Christ"  ""  ""  ""  "Christian World Pulpit"  "LX"  ""  ""  ""  ""  ""  ""  "369-72"  ""  
ref18	"Book:monograph"	"H. H. Henson"  "Sincerity and subscription"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref19	"Book:monograph"	"Mark Pattison"  "Isaac Casaubon, 1559-1614"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref20	"Other:Book chapter"	"H. H. Henson"  "Jeremy Taylor"  "in William Edward Collins, ed., <i>Typical English churchmen from Parker to Maurice: a series of lectures</i>"  "<i>Typical English churchmen from Parker to Maurice: a series of lectures</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref21	"Book:monograph"	"Joseph Hall and Josiah Pratt"  "The works of the right reverend father in God, Joseph Hall, now first collected. With some account of his life and sufferings, written by himself"  ""  "10 vols"  ""  ""  ""  "10 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref22	"Book:monograph"	"H. H. Henson"  "The education act and after"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref23	"Other:Book chapter"	"H. H. Henson"  "The anglican version of christianity"  ""  "<i>The Church of England: its nature and its future</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "52-112"  ""  
ref24	"Other:Book chapter"	"H. H. Henson"  "The early English constitution"  ""  "<i>Essays introductory to the study of English constitutional history</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "1-44"  ""  
ref25	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref26	"Book:sermons"	"H. H. Henson"  "Dissent in England"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref27	"Book:sermons"	"H. H. Henson"  "Moral discipline in the christian church, being lectures delivered during Lent 1904 in Westminster Abbey"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref29	"Other:journal:article"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref28	"Periodical:news:article"	""  "Ecclesiastical intelligence"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "9"  ""  
ref30	"Periodical:news:article"	""  "Ecclesiastical intelligence"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "11"  ""  
ref31	"Other:news:article"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref32	"Periodical:news:article"	""  "Bishop and canon: Mr. Henson's view of the resurrection repudiated"  ""  ""  ""  "St. James's Gazette"  ""  ""  ""  ""  ""  ""  ""  ""  ""  
